90925,-128.42,-75.01,912.11,-122,160,38,127.24,202.15,-343.44
90934,-127.81,-75.32,912.48,0,114,15,127.24,202.15,-343.44
90943,-127.08,-74.77,909.36,-46,76,69,127.24,202.15,-343.44
90952,-126.34,-76.90,912.96,99,-61,61,127.24,202.15,-343.44
90961,-126.83,-74.95,909.36,8,-8,114,127.24,202.15,-343.44
90970,-126.40,-75.87,910.28,31,8,107,127.24,202.15,-343.44
90979,-127.62,-75.44,909.79,-23,160,46,127.24,202.15,-343.44
90988,-127.87,-74.83,908.75,31,175,69,127.24,202.15,-343.44
90997,-128.17,-75.74,910.40,31,107,38,127.24,202.15,-343.44
91006,-128.60,-73.55,910.95,-38,229,15,127.24,202.15,-343.44
91017,-127.26,-74.65,912.05,-53,-8,46,129.05,203.96,-331.31
91026,-128.60,-77.39,911.56,15,0,23,129.05,203.96,-331.31
91034,-127.14,-75.87,911.62,61,0,76,129.05,203.96,-331.31
91043,-127.81,-77.15,910.10,76,114,23,129.05,203.96,-331.31
91053,-129.15,-76.66,910.95,31,-23,38,129.05,203.96,-331.31
91062,-125.12,-74.16,909.79,-107,38,76,129.05,203.96,-331.31
91071,-127.08,-76.11,910.34,-53,145,46,129.05,203.96,-331.31
91080,-124.69,-75.62,913.09,-15,206,130,129.05,203.96,-331.31
91088,-127.62,-75.07,911.01,-114,38,160,129.05,203.96,-331.31
91098,-126.28,-75.68,913.39,-76,8,122,129.05,203.96,-331.31
91107,-132.08,-77.39,907.41,61,46,31,129.05,203.96,-331.31
91116,-129.52,-78.06,910.10,31,130,130,129.05,203.96,-331.31
91125,-126.83,-76.23,909.97,-61,99,69,129.05,203.96,-331.31
91134,-126.34,-73.30,912.23,8,76,69,129.05,203.96,-331.31
91144,-126.95,-74.10,909.67,-15,130,15,136.29,203.96,-341.71
91153,-126.71,-73.61,912.60,61,76,-23,136.29,203.96,-341.71
91162,-127.81,-74.65,907.29,0,92,0,136.29,203.96,-341.71
91171,-129.52,-74.22,911.87,-8,-23,137,136.29,203.96,-341.71
91181,-130.74,-75.93,910.40,-107,46,92,136.29,203.96,-341.71
91190,-128.78,-72.14,912.66,-15,38,15,136.29,203.96,-341.71
91199,-127.08,-73.49,912.90,-31,76,69,136.29,203.96,-341.71
91207,-125.98,-74.65,909.18,15,92,23,136.29,203.96,-341.71
91216,-126.40,-76.11,908.14,160,145,107,136.29,203.96,-341.71
91226,-127.69,-74.89,907.47,99,8,15,136.29,203.96,-341.71
91235,-125.92,-75.93,911.56,-53,-76,61,136.29,203.96,-341.71
91244,-124.82,-76.60,909.61,31,15,46,136.29,203.96,-341.71
